,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
116,We Are The People,Walking On A Dream (10th Anniversary Edition),Empire of the Sun,2008-10-03,267373,67,0.675,0.0801,0.675,0.781,0.0143,0.422,-5.404,0.0306,122.989,4
117,Closing Shot (Radio Edit),Closing Shot,Lindstrøm,2016-03-10,268266,6,0.716,0.0015,0.716,0.758,0.867,0.119,-8.635,0.0579,123.016,4
118,Delorean Dynamite,It's Album Time,Todd Terje,2014-04-07,405933,46,0.634,0.0125,0.634,0.858,0.84,0.0984,-11.661,0.0417,123.991,4
119,In Space,Melody AM,Röyksopp,2001-08-22,210933,28,0.657,0.639,0.657,0.605,0.866,0.0822,-9.838,0.0414,119.029,4
120,Universal Traveler,Talkie Walkie,Air,2004-01-26,262013,40,0.717,0.829,0.717,0.51,0.125,0.111,-12.64,0.051,90.99,4
121,Teardrop,Mezzanine,Massive Attack,1998-01-01,330773,68,0.615,0.0173,0.615,0.419,0.497,0.135,-8.8,0.0395,76.997,4
122,Tightrope (feat. Big Boi) - Big Boi Vocal Edit,The ArchAndroid,Janelle Monáe,2010-05-17,262586,54,0.641,0.0302,0.641,0.673,0.000868,0.219,-10.72,0.0918,167.978,4
123,Everything but You,Wendy and Lisa (Expanded),Wendy & Lisa,1987-05-01,302240,9,0.606,0.467,0.606,0.683,0.019,0.319,-10.034,0.0337,116.257,4
124,The King of Rock 'N' Roll,From Langley Park To Memphis,Prefab Sprout,1988-03-14,262133,33,0.821,0.3,0.821,0.666,1.07e-06,0.0753,-9.067,0.0434,130.098,4
125,Small Talk,Cupid & Psyche 85,Scritti Politti,1985-06-10,219440,24,0.738,0.204,0.738,0.841,0.31,0.23,-8.067,0.0441,110.11,4
126,Amber Beach,Josey In Space,Josey Rebelle,2020-05-15,436525,5,0.308,0.00815,0.308,0.9,0.828,0.169,-7.431,0.0464,136.371,4
127,Bay/Sky Provincetown 1977,A Taste of Paradise,Yuji Toriyama,1985,266933,10,0.671,0.333,0.671,0.529,0.846,0.0827,-12.326,0.0306,110.722,4
128,You Are The Way You Are - Instrumental,I Want You (Deluxe Edition),Marvin Gaye,1976-03-16,264600,0,0.32,0.368,0.32,0.867,0.576,0.404,-8.453,0.0714,174.477,4
129,Born Under Punches,Remain in Light,Angelique Kidjo,2018-06-08,229626,25,0.628,0.0504,0.628,0.916,0.000476,0.0923,-2.903,0.0589,115.924,4
130,Yolele,Emotion (Real World Gold),Papa Wemba,1995,203600,38,0.67,0.1,0.67,0.845,0.0109,0.0583,-8.217,0.0563,119.032,4
131,Shaking The Tree,Shaking The Tree: 16 Golden Greats (Remastered),Peter Gabriel,1900,384493,32,0.655,0.0364,0.655,0.543,0.00093,0.0602,-10.884,0.0353,81.006,4
132,Birgit Boogie,The Hydrangeas Whisper,Boof,2015-04-03,387520,31,0.802,0.385,0.802,0.701,0.89,0.102,-8.085,0.0609,114.005,4
133,Sunglare Drive,Sky Droppin',Ametsub,2016-05-13,406547,5,0.741,0.0125,0.741,0.721,0.875,0.192,-7.33,0.058,120.013,4
134,Detroit Part 1,No Better Time Than Now,Shigeto,2013-08-19,291979,34,0.721,0.0374,0.721,0.738,0.0856,0.0948,-9.329,0.133,82.398,4
135,Giza,Giza,Sébastien Léger,2020-11-05,432786,42,0.769,0.0012,0.769,0.746,0.873,0.649,-8.835,0.0469,122.0,4
136,Aria - Newman I Love Remix,Aria,Dee Montero,2020-10-02,495609,38,0.8,0.000125,0.8,0.924,0.847,0.0592,-6.913,0.0403,123.013,4
137,You're No Good,Closer To Grey,Chromatics,2019-10-02,292418,39,0.661,0.0667,0.661,0.677,0.00905,0.137,-7.145,0.0279,116.59,4
138,The Equalizer,So This Is Goodbye,Junior Boys,2006-09-12,301306,16,0.876,0.0984,0.876,0.486,0.105,0.0757,-9.036,0.052,129.987,4
139,Feel Like Movin' - Radio Edit,Feel Like Movin' (Remixes),The Juan Maclean,2013-10-15,249713,0,0.74,0.138,0.74,0.93,0.000555,0.173,-3.949,0.0496,122.003,4
140,#5 Go Bang! (Francois K Mix),24-24 Music,Dinosaur L,1981,454840,28,0.69,0.0117,0.69,0.832,0.0184,0.28,-9.154,0.0588,130.646,4
141,Problèmes d'Amour - Original,Problèmes D'amour (All Versions),Alexander Robotnick,1983-01-01,420653,33,0.859,0.0099,0.859,0.413,0.735,0.0464,-13.888,0.0617,120.499,4
142,19 - Destruction Mix,Paul Hardcastle,Paul Hardcastle,1985-01-01,428666,35,0.744,0.00296,0.744,0.781,0.623,0.0501,-12.09,0.0816,117.859,4
143,Rainforest (Original Version),Hardcastle 1,Paul Hardcastle,1999,259533,27,0.712,0.00221,0.712,0.967,0.82,0.0321,-2.401,0.0457,119.622,4
144,Torpedo,Torpedo,AFFKT,2020-11-09,485105,1,0.697,0.00495,0.697,0.921,0.809,0.0571,-7.727,0.0461,120.004,4
145,Parler Musique,Parler Musique,Bézier,2018-03-12,426070,3,0.512,0.000258,0.512,0.775,0.907,0.552,-8.448,0.0345,127.997,4
146,Loops For Healing,For Lovers,Octo Octa,2019-03-01,327457,40,0.761,0.0474,0.761,0.699,0.848,0.0934,-11.836,0.0597,118.001,4
147,Silver,Our Love (Expanded Edition),Caribou,2015-03-10,316653,0,0.61,0.142,0.61,0.607,0.167,0.104,-8.638,0.0399,80.011,4
148,Alley Cats,One Life Stand,Hot Chip,2010-02-01,319818,35,0.734,0.465,0.734,0.526,0.000251,0.11,-8.086,0.0492,125.936,4
149,Home,This Is Happening,LCD Soundsystem,2010-05-17,473333,53,0.752,0.0462,0.752,0.844,0.131,0.0782,-8.705,0.0398,124.013,4
150,Drops,Drops,Nico,2020-10-09,278873,0,0.769,0.323,0.769,0.888,0.851,0.0768,-12.386,0.0543,142.008,4
151,Give A Little,Heard It In A Past Life,Maggie Rogers,2019-01-18,226720,54,0.618,0.211,0.618,0.695,3.96e-05,0.11,-5.415,0.189,199.95,3
152,Jason,Endless Summer,The Midnight,2016-08-01,331743,54,0.526,0.00628,0.526,0.768,0.00164,0.153,-8.28,0.0297,161.936,4
153,Running in the Night,Atlas,FM-84,2016-04-25,270000,55,0.527,0.00664,0.527,0.714,1.16e-06,0.0672,-8.929,0.0371,133.015,4
154,168 North,Good Timin' Vol. 1,Various Artists,2019-03-01,371516,8,0.805,0.000648,0.805,0.7,0.849,0.0509,-8.187,0.0716,116.994,4
155,Transition,Galaxy 2 Galaxy: A High Tech Jazz Compilation,Galaxy 2 Galaxy,2005,385413,23,0.648,0.000161,0.648,0.826,0.00357,0.147,-11.809,0.29,130.148,4
156,Japanese Elecktronics,Elektroworld,Elecktroids,2018-12-10,371923,8,0.888,0.13,0.888,0.538,0.286,0.0715,-7.999,0.132,129.454,4
157,Abraham's Theme,Chariots Of Fire (Original Motion Picture Soundtrack / Remastered),Vangelis,1981-03-14,200466,45,0.239,0.869,0.239,0.0196,0.761,0.0723,-27.547,0.0442,72.839,4
158,Twilight,"Soul Bag, Vol. 1",Various Artists,2019-07-28,406040,0,0.867,0.6,0.867,0.85,0.873,0.0958,-9.603,0.0476,107.788,4
159,Pacific 202,Ninety,808 State,1989-12-04,336400,45,0.543,0.00742,0.543,0.894,0.387,0.135,-7.743,0.06,128.275,4
160,Paper Moon,House Music Is Love 2 (Compiled & Mixed by Henri Kohn),Henri Kohn,2014-08-22,703680,10,0.763,4.14e-05,0.763,0.467,0.855,0.162,-15.095,0.0434,125.864,4
161,Offshore,Far From The Maddening Crowds,Chicane,1997-06-11,417807,43,0.589,0.0568,0.589,0.694,0.868,0.18,-9.043,0.0288,127.879,4
